-5,-19,12,10,4,29,6,-8,-7,7,-11,33,-1,-74,5,-23,12,11,5,26,-12,-8,7,-7,15,-1,4,-127
5,8,-10,12,4,-29,-2,4,-12,0,-7,-5,6,2,8,-7,-6,-1,1,-1,-9,-7,8,-9,-1,7,-9,-22
-5,-5,-8,-2,-5,7,3,5,-6,-7,-9,0,-10,-11,0,-12,8,1,8,-1,-4,1,10,4,-12,2,-12,-9
3,3,-10,2,6,13,-7,10,-11,-1,-3,16,-6,-6,-11,-10,-7,3,10,1,11,-5,-9,-10,8,19,8,2
7,-9,11,4,-5,-9,3,10,3,2,-26,12,-8,-2,2,-3,10,7,-1,24,14,-7,-8,8,0,1,-10,-43
10,-9,-9,-9,11,10,0,-9,8,-3,-4,5,9,-6,-7,2,5,-10,-2,34,4,-8,6,-2,21,3,-5,-6
6,3,5,-2,10,-6,-4,12,9,-9,6,14,5,-12,-10,7,11,-5,5,24,-9,-10,6,9,8,21,-11,-13
-5,5,10,-12,2,-13,-6,-11,1,-2,5,2,7,3,-4,0,5,-6,3,-2,-9,-10,-6,-7,4,3,12,-13
-1,-6,5,9,-5,12,14,-3,3,5,17,9,-10,0,-6,6,-2,-2,5,50,10,8,-11,5,27,-16,-6,12
0,20,-8,4,11,-37,3,3,7,9,5,-50,7,-57,-8,7,-6,-12,5,21,44,-4,-9,0,-78,49,2,16
-3,1,-3,3,-7,-13,-6,6,2,-10,-8,-36,-6,3,-3,3,5,-1,0,5,-3,2,-6,5,4,0,6,0
-7,2,-12,-7,-9,-20,-7,10,6,6,-15,-4,11,18,12,-4,4,-2,-3,-32,7,-2,-9,11,-13,4,-7,-23
11,-11,8,-7,5,-2,3,-8,-6,-7,6,-9,-12,6,4,4,-4,8,-2,0,1,2,-7,12,-4,-11,6,-2
-8,-8,6,-2,-6,-14,8,-3,10,-9,9,3,10,-5,-6,0,-8,7,3,-16,8,1,1,8,-19,-18,-11,-11
11,-3,-10,0,11,5,6,9,11,4,-121,10,-8,-13,4,2,-11,-1,-10,5,-9,1,-7,10,-49,2,1,8
-12,3,-8,-12,-11,18,2,2,-4,-3,-65,117,-3,-59,-8,-8,-2,2,-9,-23,22,-4,-5,3,-73,8,-4,-57
-5,10,-11,-6,-7,-12,6,5,-1,3,6,-20,-10,-5,-9,-11,0,-1,-7,-17,11,-6,12,7,-19,7,-6,-1
-2,-6,8,-9,-5,-20,-5,0,4,6,-16,0,10,-7,-2,8,-6,-9,-7,-16,0,-1,-4,-7,-11,17,0,-10
