-15,-6,1,-9,9,-2,9,-8,3,-10,15,-13,-4,21,-9,8,20,4,-8,15,9,7,6,-7,0,1,5,63,-12,-38,-11,-27
-7,-7,1,-2,8,-4,10,9,-7,6,12,-20,2,-4,-4,-18,1,8,-8,15,6,11,-7,2,10,32,5,-13,12,14,30,-10
3,9,-1,-3,4,-3,-10,-4,-6,45,7,5,13,5,2,-17,14,1,10,-38,10,2,-2,4,3,13,-1,5,-9,-9,-25,5
-36,1,-7,10,-11,11,-6,10,-8,2,-7,-2,12,-2,5,19,17,4,-3,-29,7,2,9,-10,-11,-15,30,1,-60,3,10,-2
-4,10,11,11,1,8,-1,2,8,-5,4,-29,1,2,3,-4,5,8,9,1,-7,10,10,-7,-4,7,-10,42,5,-13,-8,-3
8,8,10,-5,-4,-8,-10,5,-11,3,9,12,-2,6,3,-7,-1,-1,9,-13,3,6,-6,-1,-10,-3,-32,0,-24,-9,-5,-13
6,-6,-1,0,1,0,2,1,8,-6,-10,-10,-6,-6,-9,-8,-8,-5,8,-6,5,3,9,-9,1,-2,-8,-3,2,-9,-10,-8
3,-7,5,-26,4,8,1,-4,7,-31,-26,6,-10,6,-16,-14,5,-8,-10,11,-4,-9,-8,4,2,4,0,53,-11,-6,-13,3
-4,-8,3,-4,-7,-4,2,-2,-10,-4,-24,-8,0,-26,-18,-26,-2,4,-3,1,3,11,-9,-7,0,7,7,-21,12,17,8,2
-2,10,-11,23,9,-3,1,10,5,-1,-27,7,-1,-32,0,13,-15,-6,9,13,6,-11,-6,-5,6,-27,-11,-31,-5,-22,-1,-5
1,4,10,8,9,-11,-6,7,8,-6,-1,-2,3,14,2,4,-10,-2,9,17,-9,-1,-10,-10,-2,-6,12,-58,25,1,-10,9
-5,-10,9,-10,3,3,-10,-11,2,-23,-19,1,-12,2,6,2,12,-9,-5,-13,-1,6,-11,-9,-10,13,23,-22,4,1,14,9
-11,0,7,20,8,-8,11,1,-9,-19,5,24,7,0,-4,5,6,-1,-5,-2,-10,-3,2,4,1,14,5,-10,11,-16,10,-13
-3,-6,-8,8,9,1,6,-11,11,24,10,-6,1,3,21,2,-2,-1,-3,10,11,-3,11,0,-10,24,23,-46,19,4,15,4
6,7,8,-86,-7,10,-1,10,-8,21,-85,-82,7,4,-4,-4,5,-10,1,36,-2,3,-10,3,2,-17,76,-8,41,21,-15,18
-10,-2,7,21,1,5,-7,-3,-1,5,-9,3,7,-18,2,-19,5,3,5,-21,-9,-8,-9,-1,-8,-6,-8,-30,18,-15,-17,9
-127,4,-5,0,4,-1,-6,6,-9,0,8,-9,0,6,6,15,-28,7,3,-11,3,-2,11,-8,9,-7,-10,11,-4,-10,-2,-7
-26,-8,4,7,7,-7,8,-10,0,5,21,-31,18,-18,1,-17,-4,0,2,10,2,-1,1,7,-3,34,9,-20,15,8,15,1
-17,-4,8,-4,5,5,-11,8,-1,19,20,3,-13,4,-4,-2,7,2,5,-20,-2,-2,-3,9,10,14,16,-7,3,12,1,-5
-18,-6,-8,12,-2,4,6,2,-11,-1,-4,-5,-13,0,23,-1,1,-5,-11,6,-10,-10,-3,0,4,-35,-9,-1,-49,16,17,5
-5,-6,4,24,5,-11,8,-5,-11,-1,-13,7,10,-22,7,9,-13,4,-6,9,6,2,6,7,-1,-5,-9,-16,-6,-45,-7,-2
13,0,-10,-11,0,9,4,11,-11,-19,-18,16,-22,8,-9,-11,13,9,-1,-5,-4,11,-6,0,-2,-22,-21,42,-13,-7,-10,-10
9,6,4,13,-7,4,11,8,-10,-9,-2,1,9,0,0,-6,-3,-9,8,8,-7,9,11,-7,-8,14,10,-81,25,10,-8,15
7,-4,-9,-39,-3,-2,11,-1,10,-39,-24,-10,-9,15,-127,-26,-21,2,-2,26,-2,-11,2,8,-11,54,3,-11,-4,-2,-26,-23
10,-2,-11,-7,-4,11,2,7,3,1,5,6,-8,3,-9,-12,-7,10,-8,-13,6,3,8,-7,1,-5,-24,-23,-13,-3,1,-18
3,-3,3,3,11,-10,6,5,5,-7,-20,24,5,10,-1,-3,-8,9,-9,1,2,2,9,-5,10,5,-23,-8,-2,-6,1,-3
0,8,-9,-67,-2,-2,9,-9,3,30,-56,-30,9,-6,-16,5,3,1,8,37,9,7,-10,-7,-7,-21,-29,-14,25,11,-8,9
-8,1,6,-5,3,-7,3,1,3,-7,-12,0,-5,3,-6,-18,8,5,4,10,-4,8,-3,8,11,23,21,-17,17,4,8,-1
-4,-10,-9,11,8,4,3,-1,4,-50,-49,-29,0,-47,-42,14,-28,-7,10,23,5,11,3,-2,5,4,6,-11,-17,-12,-2,-17
-15,2,8,5,4,3,-3,7,1,17,16,-9,20,-7,17,12,-14,3,-7,12,1,9,-3,-3,9,32,24,-59,18,6,5,7
16,3,-3,-54,6,-9,-11,10,5,59,-26,-48,21,-8,-4,-16,11,-6,0,-5,1,1,-10,-1,-11,4,-5,35,21,-2,-13,5
19,1,10,0,-10,10,-1,-10,-1,-17,-22,17,-21,2,-14,-6,12,-11,-1,-2,-9,-11,7,8,-1,-24,-5,48,-25,-6,-10,-9
-18,9,5,-15,7,-2,2,-2,-2,18,5,-2,1,-12,10,8,29,-7,-3,-5,2,-2,2,-1,11,5,3,-63,4,-23,-10,3
15,-2,-10,14,-3,4,-2,-6,-10,8,3,4,24,-1,-19,-17,-6,-10,-2,3,8,10,1,6,-4,15,-25,-78,36,-2,-12,-4
-18,10,2,-1,7,11,3,-2,-3,-5,-4,11,2,5,19,12,-32,3,-5,21,11,-11,1,-6,-7,13,28,-79,-13,-4,4,15
-40,8,-9,-2,10,-5,10,-3,1,10,8,12,-14,8,23,16,20,2,3,10,11,-5,2,0,-3,-33,16,-5,-49,4,9,-2
-4,3,-2,-4,7,-6,6,10,-3,-6,-65,22,20,-35,-11,-1,32,-10,2,9,-4,-9,-6,-5,7,49,45,-68,-4,-14,5,-7
4,7,4,6,6,-1,5,5,1,-11,12,-16,9,-9,-16,-8,-17,3,-1,-7,-1,10,-3,-9,9,-6,8,-14,2,-22,9,15
-39,-6,11,-7,3,2,4,-7,-9,20,-13,-34,14,-6,11,-22,-1,-7,-8,20,8,-2,-8,2,-8,28,6,-79,33,0,11,-21
-8,-1,-5,26,-2,-5,2,3,-8,11,-5,-1,15,-23,3,9,-11,4,2,0,-10,11,-4,-10,0,24,-58,-51,28,-61,-8,3
-4,-3,1,0,9,-11,-11,11,11,-10,5,-2,1,-3,-1,1,6,-4,-11,1,1,-2,9,-2,2,6,-9,4,-17,-2,-9,-1
6,7,-1,-12,-2,-11,2,5,-11,-3,1,-8,-3,18,-8,-43,5,9,11,-20,-2,-1,6,8,-3,6,-69,1,-26,1,13,-18
15,-7,9,-35,2,-8,9,9,-11,53,-23,-2,9,-7,-33,-17,7,10,4,19,-8,1,-9,-6,-9,-6,-70,15,5,-20,5,26
-16,-10,2,-9,-3,3,-7,-10,-3,-22,-11,9,18,-11,-11,21,32,0,11,23,5,0,-1,-4,-10,-10,-39,-8,17,-28,11,-21
-7,-11,-2,-3,-3,6,10,7,6,-8,4,8,-6,0,-10,-3,8,-1,11,0,2,11,-5,6,8,2,-8,-2,-2,-4,8,-5
-9,8,0,-5,-11,0,5,-1,-1,15,16,-11,15,-11,15,6,-17,3,5,9,-6,5,-1,7,-2,22,3,-54,29,4,3,3
-19,-1,2,-26,1,10,8,6,8,3,45,-23,33,9,-20,14,-14,7,-7,32,10,-6,-7,4,4,7,-7,-26,-25,3,-50,-18
